"";"2018";"2017";"Компания";"Регион";"Основной вид   деятельности компании";"Отрасль";"Выручка в 2016   году, млн руб.";"Выручка в 2015   году, млн руб.";"Прирост выручки   в 2016 году, %";"Чистая прибыль в   2016 году, млн руб.";"Чистая прибыль в   2015 году, млн руб."
"77";11576;11847;"ООО   «БТК ТЕКСТИЛЬ»";"Ростовская   область";"Отделка   тканей и текстильных изделий";"Лёгкая   промышленность";5;3;42791;47460;-9
"78";10776;6923;"ОАО   «МАСЛОЖИРКОМБИНАТ “КРАСНОДАРСКИЙ”»";"Краснодарский   край";"Производство   рафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";6;7;39292;26096;50
"79";15335;1;"АО   «ДРУЖБА НАРОДОВ НОВА»";"Республика   Крым";"Разведение   сельскохозяйственной птицы";"АПК   и пищевая промышленность";2;108657;78313;38;24748
"80";9325;2;"ОАО   «УРЮПИНСКИЙ МАСЛОЭКСТРАКЦИОННЫЙ ЗАВОД»";"Волгоградская   область";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";1;70978;81897;-13;1828
"81";1414;3;"ООО   «МЯСОПТИЦЕКОМБИНАТ “КАНЕВСКОЙ”»";"Краснодарский   край";"Производство   мяса в охлажденном виде";"АПК   и пищевая промышленность";9;54381;38338;41;1718
"82";6645;4;"ООО   «ДОНСКОЕ ЗОЛОТО»";"Ростовская   область";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";5;44756;38681;15;2944
"83";11847;5;"ЗАО   «ЭМПИЛС»";"Ростовская   область";"Производство   прочих красок, лаков, эмалей и аналогичных материалов";"Химическая   промышленность";3;42791;47460;-9;11576
"84";6923;6;"ООО   «КАРТОНТАРА»";"Адыгея";"Производство   гофрированной бумаги и картона, бумажной и картонной тары";"Деревообрабатывающая   и целлюлозно-бумажная";7;39292;26096;50;10776
"85";1;2;"ООО   «ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ “НАШ ПРОДУКТ”»";"Краснодарский   край";"Производство   рафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";108657;78313;38;24748;15335
"86";2;1;"ОАО   «КОНЦЕРН “КИЗЛЯРСКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАВОД”»";"Республика   Дагестан";"Производство   вертолётов, самолётов и прочих летательных аппаратов";"Машиностроение   и металлообработка";70978;81897;-13;1828;9325
"87";3;9;"ООО   «ФРОЛОВСКАЯ ЭЛЕКТРОСТАЛЬ»";"Волгоградская   область";"Производство   стали в слитках";"Чёрная   металлургия";54381;38338;41;1718;1414
"88";4;5;"ОАО   «ГИДРОМЕТАЛЛУРГИЧЕСКИЙ ЗАВОД»";"Ставропольский   край";"Производство   удобрений и азотных соединений";"Химическая   промышленность";44756;38681;15;2944;6645
"89";5;3;"ООО   «НАЛЬЧИКСКИЙ МОЛОЧНЫЙ КОМБИНАТ»";"Кабардино-Балкария";"Производство   молочной продукции";"АПК   и пищевая промышленность";42791;47460;-9;11576;11847
"90";6;7;"ОАО   «ЕЛАНСКИЙ МАСЛОСЫРКОМБИНАТ»";"Волгоградская   область";"Производство   молока (кроме сырого) и молочной продукции";"АПК   и пищевая промышленность";39292;26096;50;10776;6923
"91";2;108657;"ООО   «АМИЛКО»";"Ростовская   область";"Производство   крахмала";"АПК   и пищевая промышленность";78313;38;24748;15335;1
"92";1;70978;"ООО   «ПЯТИГОРСКИЙ МОЛОЧНЫЙ КОМБИНАТ»";"Ставропольский   край";"Производство   молочной продукции";"АПК   и пищевая промышленность";81897;-13;1828;9325;2
"93";9;54381;"ООО   «ШАХТИНСКАЯ КЕРАМИКА»";"Ростовская   область";"Производство   керамических плит и плиток";"Промышленность   строительных материалов";38338;41;1718;1414;3
"94";5;44756;"ООО   «ВОЛГАБАС»";"Волгоградская   область";"Производство   автобусов и троллейбусов";"Машиностроение   и металлообработка";38681;15;2944;6645;4
"95";3;42791;"ЗАО   «ОБД»";"Краснодарский   край";"Производство   изделий из бетона для использования в строительстве";"Промышленность   строительных материалов";47460;-9;11576;11847;5
"96";7;39292;"ООО   «КДВ КРАСНОДАР»";"Краснодарский   край";"Производство   прочих пищевых продуктов, не включённых в другие группировки";"АПК   и пищевая промышленность";26096;50;10776;6923;6
"97";108657;78313;"ООО   «ПЛАСТИКТРЕЙД»";"Краснодарский   край";"Производство   пластмасс и синтетических смол в первичных формах";"Химическая   промышленность";38;24748;15335;1;2
"98";70978;81897;"ЗАО   «ТБИЛИССКИЙ САХАРНЫЙ ЗАВОД»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";-13;1828;9325;2;1
"99";54381;38338;"ЗАО   «КОНСТАНЦИЯ КУБАНЬ»";"Краснодарский   край";"Производство   пластмассовых плит, полос, труб и профилей";"Химическая   промышленность";41;1718;1414;3;9
"100";44756;38681;"ОАО   «ПАВЛОВСКИЙ МЯСОКОМБИНАТ»";"Краснодарский   край";"Переработка   и консервирование мяса";"АПК   и пищевая промышленность";15;2944;6645;4;5
"101";42791;47460;"ОАО   «ВИКОР»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";-9;11576;11847;5;3
"102";39292;26096;"ООО   «РИАЛ»";"Кабардино-Балкария";"Производство   пищевого спирта";"АПК   и пищевая промышленность";50;10776;6923;6;7
"103";78313;38;"ОАО   «СЫРОДЕЛЬНЫЙ ЗАВОД “СЕМИКАРАКОРСКИЙ”»";"Ростовская   область";"Производство   сыра и сырных продуктов";"АПК   и пищевая промышленность";24748;15335;1;2;108657
"104";81897;-13;"ООО   «ЮГ-ОЙЛ-ПЛАСТ»";"Карачаево-Черкесия";"Производство   пластмассовых изделий, используемых в строительстве";"Промышленность   строительных материалов";1828;9325;2;1;70978
"105";38338;41;"АО   «МОЛОЧНЫЙ КОМБИНАТ “СТАВРОПОЛЬСКИЙ”»";"Ставропольский   край";"Производство   питьевого молока и питьевых сливок";"АПК   и пищевая промышленность";1718;1414;3;9;54381
"106";38681;15;"АО   «КАСПИЙСКИЙ ЗАВОД ЛИСТОВОГО СТЕКЛА»";"Республика   Дагестан";"Производство   листового стекла";"Стекольная   промышленность";2944;6645;4;5;44756
"107";47460;-9;"АО   «МАСЛОЖИРКОМБИНАТ “АРМАВИРСКИЙ”»";"Краснодарский   край";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";11576;11847;5;3;42791
"108";26096;50;"ООО   «КУБАНЬАГРОПРОД-Т»";"Краснодарский   край";"Производство   готовых кормов для животных, содержащихся на фермах";"АПК   и пищевая промышленность";10776;6923;6;7;39292
"109";38;24748;"АО   «АТОММАШЭКСПОРТ»";"Ростовская   область";"Производство   ядерных установок и их составных частей";"Машиностроение   и металлообработка";15335;1;2;108657;78313
"110";-13;1828;"ООО   «МАХ-МЕБЕЛЬ»";"Краснодарский   край";"Производство   мебели";"Деревообрабатывающая   и целлюлозно-бумажная";9325;2;1;70978;81897
"111";41;1718;"АО   «ГАЗПРОМ ХИМВОЛОКНО»";"Волгоградская   область";"Производство   кордных тканей";"Лёгкая   промышленность";1414;3;9;54381;38338
"112";15;2944;"ОАО   «АГРОПРОМЫШЛЕННЫЙ СТРОИТЕЛЬНЫЙ КОМБИНАТ ГУЛЬКЕВИЧСКИЙ»";"Краснодарский   край";"Производство   изделий из бетона для использования в строительстве";"Промышленность   строительных материалов";6645;4;5;44756;38681
"113";-9;11576;"ОАО   «ВОЛГОГРАДСКИЙ КЕРАМИЧЕСКИЙ ЗАВОД»";"Волгоградская   область";"Производство   керамических плит и плиток";"Промышленность   строительных материалов";11847;5;3;42791;47460
"114";50;10776;"ООО   «ИНКЕРМАНСКИЙ ЗАВОД МАРОЧНЫХ ВИН»";"Севастополь";"Производство   вина из винограда";"АПК   и пищевая промышленность";6923;6;7;39292;26096
"115";24748;15335;"ЗАО   «СТАВРОПОЛЬСКИЙ ВИННО-КОНЬЯЧНЫЙ ЗАВОД»";"Ставропольский   край";"Производство   напитков";"АПК   и пищевая промышленность";1;2;108657;78313;38
"116";1828;9325;"ООО   «ФОРТЕ МЕТАЛС ГМБХ»";"Волгоградская   область";"Производство   радиаторов";"Цветная   металлургия";2;1;70978;81897;-13
"117";1718;1414;"ООО   «МЯСНОЙ ПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС “ВИКТОРИЯ”»";"Ростовская   область";"Переработка   и консервирование мяса и мясной пищевой продукции";"АПК   и пищевая промышленность";3;9;54381;38338;41
"118";2944;6645;"ООО   «КУБАНЬ-ТИ»";"Краснодарский   край";"Производство   чая и кофе";"АПК   и пищевая промышленность";4;5;44756;38681;15
"119";11576;11847;"ООО   «МЕХАНИЗИРОВАННАЯ КОЛОННА № 20»";"Ростовская   область";"Производство   прочих изделий из пластмасс, не включённых в другие группировки";"Химическая   промышленность";5;3;42791;47460;-9
"120";10776;6923;"ООО   «ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ “ДИА”»";"Волгоградская   область";"Производство   стальных труб, полых профилей и фитингов";"Чёрная   металлургия";6;7;39292;26096;50
"121";15335;1;"АО   «КАМЫШИНСКИЙ СТЕКЛОТАРНЫЙ ЗАВОД»";"Волгоградская   область";"Производство   полых стеклянных изделий";"Стекольная   промышленность";2;108657;78313;38;24748
"122";9325;2;"ООО   «АГРАКУБАНЬ»";"Краснодарский   край";"Производство   масел и жиров";"АПК   и пищевая промышленность";1;70978;81897;-13;1828
"123";1414;3;"АО   «КАВМИНСТЕКЛО»";"Ставропольский   край";"Производство   полых стеклянных изделий";"Стекольная   промышленность";9;54381;38338;41;1718
"124";6645;4;"ПАО   «КАНЕВСКСАХАР»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";5;44756;38681;15;2944
"125";11847;5;"ОАО   «КРИСТАЛЛ-2»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";3;42791;47460;-9;11576
"126";6923;6;"АО   «САХАРНЫЙ ЗАВОД “СВОБОДА”»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";7;39292;26096;50;10776
"127";1;2;"ООО   «ФИРМА “МЕРКУРИЙ”»";"Карачаево-Черкесия";"Производство   минеральных вод";"АПК   и пищевая промышленность";108657;78313;38;24748;15335
"128";2;1;"АО   «МОНОКРИСТАЛЛ»";"Ставропольский   край";"Производство   искусственного корунда";"Химическая   промышленность";70978;81897;-13;1828;9325
"129";3;9;"АО   «КОМБИНАТ КРУПНОПАНЕЛЬНОГО ДОМОСТРОЕНИЯ»";"Ростовская   область";"Производство   изделий из бетона для использования в строительстве";"Промышленность   строительных материалов";54381;38338;41;1718;1414
"130";4;5;"ЗАО   «БАЙСАД»";"Ставропольский   край";"Разведение   сельскохозяйственной птицы";"АПК   и пищевая промышленность";44756;38681;15;2944;6645
"131";5;3;"ООО   «ЭМПИЛС-ЦИНК»";"Ростовская   область";"Производство   красителей и пигментов";"Химическая   промышленность";42791;47460;-9;11576;11847
"132";6;7;"ООО   «КРАУН КОРК КУБАНЬ»";"Краснодарский   край";"Производство   тары из лёгких металлов";"Машиностроение   и металлообработка";39292;26096;50;10776;6923
"133";2;108657;"ООО   «ГРАФОБАЛ-ДОН»";"Ростовская   область";"Производство   прочих изделий из бумаги и картона";"Деревообрабатывающая   и целлюлозно-бумажная";78313;38;24748;15335;1
"134";1;70978;"АО   «КАБЕЛЬНЫЙ ЗАВОД “КАВКАЗКАБЕЛЬ”»";"Кабардино-Балкария";"Производство   проводов и кабелей для электронного и электрического оборудования";"Машиностроение   и металлообработка";81897;-13;1828;9325;2
"135";9;54381;"ФГУП   «КИЗЛЯРСКИЙ КОНЬЯЧНЫЙ ЗАВОД»";"Республика   Дагестан";"Производство   дистиллированных питьевых алкогольных напитков";"АПК   и пищевая промышленность";38338;41;1718;1414;3
"136";5;44756;"ООО   «БРИС-БОСФОР»";"Краснодарский   край";"Производство   обуви";"Лёгкая   промышленность";38681;15;2944;6645;4
"137";3;42791;"ЗАО   «ОРЕХПРОМ»";"Краснодарский   край";"Переработка   и консервирование фруктов и орехов";"АПК   и пищевая промышленность";47460;-9;11576;11847;5
"138";7;39292;"АО   «ЭЛИС ФЭШН РУС»";"Ростовская   область";"Производство   прочей верхней одежды";"Лёгкая   промышленность";26096;50;10776;6923;6
"139";108657;78313;"ЗАО   «ПЭКЭДЖИНГ КУБАНЬ»";"Краснодарский   край";"Производство   гофрированной бумаги и картона, бумажной и картонной тары";"Деревообрабатывающая   и целлюлозно-бумажная";38;24748;15335;1;2
"140";70978;81897;"ООО   «ЗИРАКС»";"Волгоградская   область";"Производство   прочих основных неорганических химических веществ";"Химическая   промышленность";-13;1828;9325;2;1
"141";54381;38338;"ООО   «ИЗДАТЕЛЬСКИЙ ДОМ “ПРОФ-ПРЕСС”»";"Ростовская   область";"Деятельность   полиграфическая и предоставление услуг в этой области";"Деревообрабатывающая   и целлюлозно-бумажная";41;1718;1414;3;9
"142";44756;38681;"ООО   «СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ “ЮГ”»";"Краснодарский   край";"Производство   масел и жиров";"АПК   и пищевая промышленность";15;2944;6645;4;5
"143";42791;47460;"ООО   «КРАХМАЛЬНЫЙ ЗАВОД ГУЛЬКЕВИЧСКИЙ»";"Краснодарский   край";"Производство   крахмала";"АПК   и пищевая промышленность";-9;11576;11847;5;3
"144";39292;26096;"ООО   «ЗДОРОВЬЕ»";"Волгоградская   область";"Производство   соёеного, варёного, запечённого, копчёного, вяленого и прочего мяса";"АПК   и пищевая промышленность";50;10776;6923;6;7
"145";78313;38;"АО   «СТАВРОПОЛЬСАХАР»";"Ставропольский   край";"Производство   сахара";"АПК   и пищевая промышленность";24748;15335;1;2;108657
"146";81897;-13;"ООО   «ПЕРЕСВЕТ»";"Северная   Осетия-Алания";"Производство   дистиллированных питьевых алкогольных напитков";"АПК   и пищевая промышленность";1828;9325;2;1;70978
"147";38338;41;"ООО   «ХЛЕБОЗАВОД ЮГ РУСИ»";"Ростовская   область";"Производство   хлеба и мучных кондитерских изделий, тортов и пирожных";"АПК   и пищевая промышленность";1718;1414;3;9;54381
"148";38681;15;"АО   «ПИВОБЕЗАЛКОГОЛЬНЫЙ КОМБИНАТ “КРЫМ”»";"Республика   Крым";"Производство   пива";"АПК   и пищевая промышленность";2944;6645;4;5;44756
"149";47460;-9;"ООО   «АЗОВСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ “АЛЕКО-ПОЛИМЕРЫ”»";"Ростовская   область";"Производство   пластмассовых изделий для упаковывания товаров";"Химическая   промышленность";11576;11847;5;3;42791
"150";26096;50;"ООО   «НЕВИННОМЫССКИЙ МАСЛОЭКСТРАКЦИОННЫЙ ЗАВОД»";"Ставропольский   край";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";10776;6923;6;7;39292
"151";38;24748;"ООО   «АЛМАЗ»";"Ростовская   область";"Производство   мебели";"Деревообрабатывающая   и целлюлозно-бумажная";15335;1;2;108657;78313
"152";-13;1828;"ООО   «АГРО-ИНВЕСТ»";"Кабардино-Балкария";"Переработка   и консервирование овощей (кроме картофеля) и грибов";"АПК   и пищевая промышленность";9325;2;1;70978;81897
"153";41;1718;"ОАО   «СЕБРЯКОВСКИЙ КОМБИНАТ АСБЕСТОЦЕМЕНТНЫХ ИЗДЕЛИЙ»";"Волгоградская   область";"Производство   изделий из асбестоцемента и волокнистого цемента";"Промышленность   строительных материалов";1414;3;9;54381;38338
"154";15;2944;"ОАО   «ЕПК ВОЛЖСКИЙ»";"Волгоградская   область";"Производство   шариковых и роликовых подшипников";"Машиностроение   и металлообработка";6645;4;5;44756;38681
"155";-9;11576;"ОАО   «ДЕРБЕНТСКИЙ ЗАВОД ИГРИСТЫХ ВИН»";"Республика   Дагестан";"Производство   вина из винограда";"АПК   и пищевая промышленность";11847;5;3;42791;47460
"156";50;10776;"ООО   «ГРАНД-СТАР»";"Краснодарский   край";"Производство   рафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";6923;6;7;39292;26096
"157";24748;15335;"ООО   «КУБАНСКИЕ КОНСЕРВЫ»";"Краснодарский   край";"Выращивание   однолетних культур";"АПК   и пищевая промышленность";1;2;108657;78313;38
"158";1828;9325;"АО   «ЛИМАН»";"Ростовская   область";"Производство   готовых кормов для животных, содержащихся на фермах";"АПК   и пищевая промышленность";2;1;70978;81897;-13
"159";1718;1414;"ООО   «КАМЫШИНСКИЙ ТЕКСТИЛЬ»";"Волгоградская   область";"Производство   хлопчатобумажных тканей";"Лёгкая   промышленность";3;9;54381;38338;41
"160";2944;6645;"ООО   «МАСЛОПРОДУКТ»";"Краснодарский   край";"Производство   растительных рафинированных масел и жиров";"АПК   и пищевая промышленность";4;5;44756;38681;15
"161";11576;11847;"ОАО   «НАУЧНО-ПРОИЗВОДСТВЕННЫЙ КОНЦЕРН “ЭСКОМ”»";"Ставропольский   край";"Производство   лекарственных препаратов";"Фармацевтическая   промышленность";5;3;42791;47460;-9
"162";10776;6923;"ОАО   «ЧЕЧЕНАВТО»";"Чеченская   Республика";"Производство   автотранспортных средств";"Машиностроение   и металлообработка";6;7;39292;26096;50
"163";15335;1;"АО   «АГРОФИРМА “ПРИАЗОВСКАЯ”»";"Ростовская   область";"Разведение   сельскохозяйственной птицы";"АПК   и пищевая промышленность";2;108657;78313;38;24748
"164";9325;2;"ООО   ФИРМА «КАЛОРИЯ»";"Краснодарский   край";"Производство   питьевого молока и питьевых сливок";"АПК   и пищевая промышленность";1;70978;81897;-13;1828
"165";1414;3;"ООО   «ГИАГИНСКИЙ МАСЛОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС»";"Республика   Адыгея";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";9;54381;38338;41;1718
"166";6645;4;"ООО   «СПЕЦИАЛЬНЫЕ СВАРНЫЕ МЕТАЛЛОКОНСТРУКЦИИ»";"Волгоградская   область";"Производство   строительных металлических конструкций, изделий и их частей";"Промышленность   строительных материалов";5;44756;38681;15;2944
"167";11847;5;"ООО   «АЛУНЕКСТ»";"Ростовская   область";"Производство   алюминия";"Цветная   металлургия";3;42791;47460;-9;11576
"168";6923;6;"ООО   «ВОЛГОДОНСКИЙ КОМБИНАТ ДРЕВЕСНЫХ ПЛИТ»";"Ростовская   область";"Производство   прочей мебели";"Деревообрабатывающая   и целлюлозно-бумажная";7;39292;26096;50;10776
"169";1;2;"ООО   «ЦЕНТР СОЯ»";"Краснодарский   край";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";108657;78313;38;24748;15335
"170";2;1;"ООО»ЗАВОД   ПО ЭКСТРАКЦИИ РАСТИТЕЛЬНЫХ МАСЕЛ»";"Краснодарский   край";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";70978;81897;-13;1828;9325
"171";3;9;"АО   «ЗАВОД “ДАГДИЗЕЛЬ”»";"Дагестан";"Производство   оружия и боеприпасов";"Машиностроение   и металлообработка";54381;38338;41;1718;1414
"172";4;5;"ОАО   «ЭКТОС-ВОЛГА»";"Волгоградская   область";"Производство   прочих химических органических основных веществ";"Химическая   промышленность";44756;38681;15;2944;6645
"173";5;3;"АО   «МЕЙДЖИКФУД»";"Ростовская   область";"Производство   прочих пищевых продуктов, не включенных в другие группировки";"АПК   и пищевая промышленность";42791;47460;-9;11576;11847
"174";6;7;"ЗАО   «ПОЛТАВСКИЕ КОНСЕРВЫ»";"Краснодарский   край";"Переработка   и консервирование овощей (кроме картофеля) и грибов";"АПК   и пищевая промышленность";39292;26096;50;10776;6923
"175";2;108657;"ООО   «НЕВИННОМЫССК-РЕМСТРОЙСЕРВИС»";"Ставропольский   край";"Обработка   металлических изделий механическая";"Машиностроение   и металлообработка";78313;38;24748;15335;1
"176";1;70978;"ООО   «ФОНТЕ АКВА»";"Калмыкия";"Производство   минеральных вод";"АПК   и пищевая промышленность";81897;-13;1828;9325;2
"177";9;54381;"КАЗАЧЬЯ   ХОЛДИНГОВАЯ КОМПАНИЯ «АКЦИОНЕРНОЕ ОБЩЕСТВО “КРАСНОДОНСКОЕ”»";"Волгоградская   область";"Разведение   свиней";"АПК   и пищевая промышленность";38338;41;1718;1414;3
"178";5;44756;"ПАО   «КОМБИНАТ ХЛЕБОПРОДУКТОВ “ТИХОРЕЦКИЙ”»";"Краснодарский   край";"Производство   муки из зерновых культур";"АПК   и пищевая промышленность";38681;15;2944;6645;4
"179";3;42791;"ООО   «ТД ГРАСС»";"Волгоградская   область";"Производство   мыла и моющих средств, чистящих и полирующих средств";"Химическая   промышленность";47460;-9;11576;11847;5
"180";7;39292;"ООО   «ЗЕЛЁНАЯ КОМПАНИЯ»";"Кабардино-Балкария";"Переработка   и консервирование овощей (кроме картофеля) и грибов";"АПК   и пищевая промышленность";26096;50;10776;6923;6
"181";108657;78313;"ПАО   «ХЛЕБ КУБАНИ»";"Краснодарский   край";"Производство   готовых кормов для животных, содержащихся на фермах";"АПК   и пищевая промышленность";38;24748;15335;1;2
"182";70978;81897;"ОАО   «МОЛОЧНЫЙ ЗАВОД “ГИАГИНСКИЙ”»";"Адыгея";"Производство   сливочного масла, топленого масла, масляной пасты и др.";"АПК   и пищевая промышленность";-13;1828;9325;2;1
"183";54381;38338;"ООО   «Ю-МЕТ»";"Ростовская   область";"Производство   строительных металлических конструкций, изделий и их частей";"Промышленность   строительных материалов";41;1718;1414;3;9
"184";44756;38681;"ООО   «МЕТАЛЛ-ДОН»";"Ростовская   область";"Производство   строительных металлических конструкций и изделий";"Промышленность   строительных материалов";15;2944;6645;4;5
"185";42791;47460;"ОАО   «ВЗРЫВОЗАЩИЩЁННЫЕ ЭЛЕКТРИЧЕСКИЕ АППАРАТЫ НИЗКОВОЛЬТНЫЕ»";"Ставропольский   край";"Производство   электрической распределительной и регулирующей аппаратуры";"Машиностроение   и металлообработка";-9;11576;11847;5;3
"186";39292;26096;"ООО   «ЮЖНАЯ РИСОВАЯ КОМПАНИЯ»";"Краснодарский   край";"Производство   обработанного риса";"АПК   и пищевая промышленность";50;10776;6923;6;7
"187";78313;38;"ГУП   РК «КРЫМХЛЕБ»";"Республика   Крым";"Производство   хлеба и мучных кондитерских изделий недлительного хранения";"АПК   и пищевая промышленность";24748;15335;1;2;108657
"188";81897;-13;"ОАО   «ДОНЕЦКАЯ МАНУФАКТУРА М»";"Ростовская   область";"Производство   хлопчатобумажных тканей";"Лёгкая   промышленность";1828;9325;2;1;70978
"189";38338;41;"ООО   «ПРЕМИУМ»";"Кабардино-Балкария";"Производство   пищевого спирта";"АПК   и пищевая промышленность";1718;1414;3;9;54381
"190";38681;15;"ООО   «СОЮЗ-ВИНО»";"Краснодарский   край";"Производство   вина из винограда";"АПК   и пищевая промышленность";2944;6645;4;5;44756
"191";47460;-9;"АО   «ЗАВОД “ФИОЛЕНТ”»";"Республика   Крым";"Производство   инструментов и приборов для измерения, тестирования и навигации";"Машиностроение   и металлообработка";11576;11847;5;3;42791
"192";26096;50;"ООО   «МПК “СКВОРЦОВО”»";"Республика   Крым";"Производство   продукции из мяса убойных животных и мяса птицы";"АПК   и пищевая промышленность";10776;6923;6;7;39292
"193";38;24748;"ООО   «ИНВЕСТИЦИОННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ “БУДМАР”»";"Краснодарский   край";"Производство   изделий из бетона для использования в строительстве";"Промышленность   строительных материалов";15335;1;2;108657;78313
"194";-13;1828;"ООО   «ВИТ»";"Волгоградская   область";"Производство   красок, лаков, эмалей и аналогичных материалов";"Химическая   промышленность";9325;2;1;70978;81897
"195";41;1718;"АО   «НАРЗАН»";"Ставропольский   край";"Производство   минеральных вод";"АПК   и пищевая промышленность";1414;3;9;54381;38338
"196";15;2944;"ООО   «ПИК-КОМПОЗИТ»";"Ростовская   область";"Производство   основных химических веществ, удобрений и азотных соединений, пластмасс и   синтетического каучука";"Химическая   промышленность";6645;4;5;44756;38681
"197";-9;11576;"ФГУП   «ПАО “МАССАНДРА”»";"Республика   Крым";"Производство   вина из винограда";"АПК   и пищевая промышленность";11847;5;3;42791;47460
"198";50;10776;"ООО   «МИНЕРАЛОВОДСКИЙ ЗАВОД ВИНОГРАДНЫХ ВИН»";"Ставропольский   край";"Производство   вина из винограда";"АПК   и пищевая промышленность";6923;6;7;39292;26096
"199";24748;15335;"ООО   «ТОРГОВЫЙ ДОМ “ВИКТОРИЯ”»";"Адыгея";"Производство   вина из винограда";"АПК   и пищевая промышленность";1;2;108657;78313;38
"200";1828;9325;"АО   «ЧЕЧЕНЦЕМЕНТ»";"Чечня";"Производство   цемента";"Промышленность   строительных материалов";2;1;70978;81897;-13
"201";1718;1414;"ПАО   «КРАСНОДАРЗЕРНОПРОДУКТ»";"Краснодарский   край";"Производство   муки из зерновых культур";"АПК   и пищевая промышленность";3;9;54381;38338;41
"202";2944;6645;"ОАО   «ПОБЕДИТ»";"Северная   Осетия-Алания";"Производство   прочих цветных металлов";"Цветная   металлургия";4;5;44756;38681;15
"203";11576;11847;"АО   «АЗОВСКИЙ ОПТИКО-МЕХАНИЧЕСКИЙ ЗАВОД»";"Ростовская   область";"Производство   оружия и боеприпасов";"Машиностроение   и металлообработка";5;3;42791;47460;-9
"204";10776;6923;"ОАО   «ГОРОДИЩЕНСКИЙ КОМБИНАТ ХЛЕБОПРОДУКТОВ»";"Волгоградская   область";"Производство   продуктов мукомольной и крупяной промышленности";"АПК   и пищевая промышленность";6;7;39292;26096;50
"205";15335;1;"ЗАО   «НПО “НАТЭК-НЕФТЕХИММАШ”»";"Ставропольский   край";"Производство   теплообменных устройств, оборудования для кондиционирования воздуха   промышленного холодильного и морозильного оборудования";"Машиностроение   и металлообработка";2;108657;78313;38;24748
"206";9325;2;"ООО   «ЮЖНАЯ КОРОНА - БРЮХОВЕЦКИЙ КОМБИКОРМОВЫЙ ЗАВОД»";"Краснодарский   край";"Производство   готовых кормов для животных, содержащихся на фермах";"АПК   и пищевая промышленность";1;70978;81897;-13;1828
"207";1414;3;"ООО   «ЮЖНЫЙ ПОЛЮС»";"Краснодарский   край";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";9;54381;38338;41;1718
"208";6645;4;"ООО   «КОНСТРУКТОРСКОЕ БЮРО КОММУТАЦИОННОЙ АППАРАТУРЫ»";"Севастополь";"Производство   электрической распределительной и регулирующей аппаратуры";"Машиностроение   и металлообработка";5;44756;38681;15;2944
"209";11847;5;"ООО   «ТАМАНСКАЯ ВИННАЯ КОМПАНИЯ - КУБАНЬ»";"Краснодарский   край";"Производство   вина из винограда";"АПК   и пищевая промышленность";3;42791;47460;-9;11576
"210";6923;6;"ООО   «ТЕХАДА»";"Краснодарский   край";"Прочие   виды переработки и консервирования фруктов и овощей";"АПК   и пищевая промышленность";7;39292;26096;50;10776
"211";1;2;"ООО   «МСК “СИБАГРО”»";"Севастополь";"Производство   прочей неметаллической минеральной продукции";"Химическая   промышленность";108657;78313;38;24748;15335
"212";2;1;"ОАО   «КОНДИТЕРСКИЙ КОМБИНАТ “КУБАНЬ”»";"Краснодарский   край";"Производство   сухарей, печенья, мучных кондитерских изделий";"АПК   и пищевая промышленность";70978;81897;-13;1828;9325
"213";3;9;"ООО   «ВОЛГОГРАДСКАЯ АЛЮМИНИЕВАЯ КОМПАНИЯ-ПОРОШКОВАЯ МЕТАЛЛУРГИЯ»";"Волгоградская   область";"Производство   алюминия";"Цветная   металлургия";54381;38338;41;1718;1414
"214";4;5;"АО   «ФАМАДАР КАРТОНА ЛИМИТЕД»";"Ростовская   область";"Производство   гофрированной бумаги и картона, бумажной и картонной тары";"Деревообрабатывающая   и целлюлозно-бумажная";44756;38681;15;2944;6645
