"";"2018";"2017";"Компания";"Регион";"Основной вид   деятельности компании";"Отрасль";"Выручка в 2016   году, млн руб.";"Выручка в 2015   году, млн руб.";"Прирост выручки   в 2016 году, %";"Чистая прибыль в   2016 году, млн руб.";"Чистая прибыль в   2015 году, млн руб."
"276";26096;50;"ООО   «ГЛАВДОРСТРОЙ»";"Ставропольский   край";"Производство   товарного бетона";"Промышленность   строительных материалов";10776;6923;6;7;39292
"277";38;24748;"ООО   «МГ»";"Волгоградская   область";"Формирование   и обработка листового стекла";"Стекольная   промышленность";15335;1;2;108657;78313
"278";-13;1828;"ООО   «ГИРЕЙ-САХАР»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";9325;2;1;70978;81897
"279";41;1718;"ОАО   «ПРОДМАШ»";"Ростовская   область";"Производство   машин и оборудования для производства пищевых продуктов";"Машиностроение   и металлообработка";1414;3;9;54381;38338
"280";15;2944;"ООО   «МАМРУКО»";"Адыгея";"Производство   растительных и животных масел и жиров";"АПК   и пищевая промышленность";6645;4;5;44756;38681
"281";-9;11576;"ООО   «ЮГ-ПРОФИЛЬ-СИСТЕМС»";"Краснодарский   край";"Производство   пластмассовых плит, полос, труб и профилей";"Химическая   промышленность";11847;5;3;42791;47460
"282";50;10776;"ООО   «ТИМАШЕВСКМЯСОПРОДУКТ»";"Краснодарский   край";"Производство   мяса в охлаждённом виде";"АПК   и пищевая промышленность";6923;6;7;39292;26096
"283";24748;15335;"ООО   «ФИРМА “ХАММЕР”»";"Карачаево-Черкесия";"Выращивание   зерновых, зернобобовых культур и семян масличных культур";"АПК   и пищевая промышленность";1;2;108657;78313;38
"284";1828;9325;"ООО   «ПЕТРОВСКИЕ НИВЫ»";"Ставропольский   край";"Производство   макаронных изделий";"АПК   и пищевая промышленность";2;1;70978;81897;-13
"285";1718;1414;"ПАО   «ГРАНИТ»";"Ростовская   область";"Производство   электронных вакуумных ламп и трубок и пр.";"Машиностроение   и металлообработка";3;9;54381;38338;41
"286";2944;6645;"ООО   «ШАНС»";"Карачаево-Черкесия";"Производство   изделий из бетона для использования в строительстве";"Промышленность   строительных материалов";4;5;44756;38681;15
"287";11576;11847;"ООО   «КАБЕЛЬНЫЙ ЗАВОД “ДОНКАБЕЛЬ”»";"Ростовская   область";"Производство   проводов и кабелей для электронного и электрического оборудования";"Машиностроение   и металлообработка";5;3;42791;47460;-9
"288";10776;6923;"ООО   «ОРЕОЛ»";"Ростовская   область";"Производство   проводов и кабелей для электронного и электрического оборудования";"Машиностроение   и металлообработка";6;7;39292;26096;50
"289";15335;1;"ООО   «РАКУРС»";"Северная   Осетия-Алания";"Производство   дистиллированных питьевых алкогольных напитков";"АПК   и пищевая промышленность";2;108657;78313;38;24748
"290";9325;2;"ООО   «КУБАНСКИЙ КОНСЕРВНЫЙ КОМБИНАТ»";"Краснодарский   край";"Прочие   виды переработки и консервирования фруктов и овощей";"АПК   и пищевая промышленность";1;70978;81897;-13;1828
